current density,magnetic field,fx,fy,fxv2,fyv2,fx_safe,fy_safe,fxv2_safe,fyv2_safe,flaplacex,flaplacey,refinment,is_saturated,elapse_time_total,shapefunction_degree,size multiplicator ,number dof, fx_r,fy_r,fx_safe_r,fy_safe_r,flaplacex_r,flaplacey_r,is alternative current,size,size2,integral_force,integral_force2,is_periodic,integral_force,integral_force2,diff,diff2,diff inverted,diff inverted 2
0,0.5,-12.4671,0.00000736999,-12.4541,0.00000735862,-11.4203,0.00000686119,-11.4226,0.00000686226,0,0,3,0,3.89968,2,2,50373,12.4671,0.00000736999,12.4541,0.00000735862,0,0,1,0.0015,0.0015,-12.9754,12.9754,0,-12.9754,12.9754,0,0,-25.9508,25.9508
0,0.5,-5.39303,0.0000176894,-5.38752,0.0000176617,-4.93207,0.0000164718,-4.93291,0.0000164744,0,0,3,0,3.58848,2,4,48445,5.39303,0.0000176894,5.38752,0.0000176617,0,0,1,0.0015,0.0015,-5.5841,5.5841,0,-5.5841,5.5841,0,0,-11.1682,11.1682
0,0.5,-1.62635,0.0000610163,-1.6247,0.0000609195,-1.48567,0.0000568234,-1.4859,0.0000568325,0,0,3,0,5.49726,2,8,49589,1.62635,0.0000610163,1.6247,0.0000609195,0,0,1,0.0015,0.0015,-1.67821,1.67821,0,-1.67821,1.67821,0,0,-3.35642,3.35642
0,0.5,-0.355313,0.0002563,-0.354956,0.000255891,-0.324401,0.000238702,-0.324446,0.00023874,0,0,3,0,3.63939,2,16,51605,0.355313,0.0002563,0.354956,0.000255891,0,0,1,0.0015,0.0015,-0.366004,0.366004,0,-0.366004,0.366004,0,0,-0.732008,0.732008
0,0.6,-51.244,0.00000289548,-51.1787,0.00000288988,-47.2016,0.00000269329,-47.2193,0.00000269385,0,0,3,0,4.50509,2,0,46861,51.244,0.00000289548,51.1787,0.00000288988,0,0,1,0.0015,0.0015,-54.9248,54.9248,0,-54.9248,54.9248,0,0,-109.8496,109.8496
0,0.6,-27.5271,0.00000552069,-27.4938,0.00000550978,-25.2739,0.00000513821,-25.2813,0.00000513926,0,0,3,0,5.56538,2,1,50373,27.5271,0.00000552069,27.4938,0.00000550978,0,0,1,0.0015,0.0015,-29.2444,29.2444,0,-29.2444,29.2444,0,0,-58.4888,58.4888
0,0.6,-16.3232,0.00000948625,-16.304,0.00000946725,-14.9622,0.00000883127,-14.966,0.00000883308,0,0,3,0,4.12655,2,2,50373,16.3232,0.00000948625,16.304,0.00000946725,0,0,1,0.0015,0.0015,-17.2536,17.2536,0,-17.2536,17.2536,0,0,-34.5072,34.5072
0,0.6,-7.04609,0.0000227162,-7.03801,0.00002267,-6.44844,0.000021152,-6.44978,0.0000211563,0,0,3,0,3.43049,2,4,48445,7.04609,0.0000227162,7.03801,0.00002267,0,0,1,0.0015,0.0015,-7.41079,7.41079,0,-7.41079,7.41079,0,0,-14.82158,14.82158
0,0.6,-2.12163,0.0000782216,-2.11924,0.0000780609,-1.9396,0.0000728436,-1.93995,0.0000728589,0,0,3,0,3.58488,2,8,49589,2.12163,0.0000782216,2.11924,0.0000780609,0,0,1,0.0015,0.0015,-2.22418,2.22418,0,-2.22418,2.22418,0,0,-4.44836,4.44836
0,0.6,-0.46316,0.00032828,-0.462643,0.000327602,-0.423198,0.000305726,-0.423269,0.000305791,0,0,3,0,6.50877,2,16,51605,0.46316,0.00032828,0.462643,0.000327602,0,0,1,0.0015,0.0015,-0.484749,0.484749,0,-0.484749,0.484749,0,0,-0.969498,0.969498
